ds,HW_A,HW_A-lo-90,HW_A-hi-90,HW_M,HW_M-lo-90,HW_M-hi-90
2022-10-30,1150.5149239960504,-1987.2138234589904,4288.243671451091,2042.2878148704742,-11299.491708274496,15384.067338015446
2022-10-31,1528.7581806645521,-1610.6107229219288,4668.127084251033,2764.9645948885004,-10608.96714388832,16138.896333665321
2022-11-01,1697.4681516466783,-1443.5551782061332,4838.49148149949,3091.481342711903,-10366.328383940328,16549.291069364135
2022-11-02,3778.2156254833862,635.5235523152646,6920.907698651508,7046.83373438745,-6493.031254205225,20586.698722980123
2022-11-03,997.0534373315991,-2147.3217428201706,4141.428617483369,1769.0615393843232,-11856.258247794947,15394.381326563594
2022-11-04,1185.6287635740343,-1960.4439335530062,4331.701460701075,2133.6180845828235,-11531.772053848825,15799.008223014473
2022-11-05,1344.3152965402337,-1803.4693735795863,4492.099966660054,2442.0024533406263,-11231.237724195898,16115.242630877152
2022-11-06,1702.682255484818,-1446.8288893724691,4852.193400342105,3133.402893034509,-10551.10160264076,16817.907388709777
2022-11-07,1452.211038393777,-1699.0411283728458,4603.4632051604,2659.6363684501666,-11058.66467362668,16377.937410527013
2022-11-08,1910.4336985843838,-1242.5740823893589,5063.441479558127,3544.9741368728755,-10180.461186735634,17270.409460481387
2022-11-09,4453.23262833608,1298.4545960340406,7608.01066063812,8424.391792859964,-5315.908512625318,22164.692098345244
2022-11-10,1609.064533431752,-1547.4984318393995,4765.627498702903,2978.7718814103455,-10823.235665625318,16780.77942844601
2022-11-11,1967.4967587723186,-1190.8658653234306,5125.859382868068,3675.9470590998208,-10137.428941895932,17489.323060095572
2022-11-12,2106.4601229493583,-1053.7169297349778,5266.637175633694,3951.108006059503,-9872.463502123119,17774.679514242125
2022-11-13,1536.3468144496214,-1625.6594801884526,4698.353109087695,2856.6349550433292,-10987.61329151194,16700.883201598597
2022-11-14,1914.6928566907363,-1249.1575365588878,5078.5432499403605,3595.2806705994394,-10279.906530995559,17470.467872194436
2022-11-15,3725.486363490556,559.7769719885437,6891.195754992568,7104.14118184686,-6782.332941350157,20990.615305043877
2022-11-16,6125.713649764224,2958.130317696714,9293.296981831734,11747.424171736311,-2146.6751526557637,25641.523496128386
2022-11-17,4024.5224673106504,855.0502100041144,7193.994724617187,7706.973876768808,-6231.828612517532,21645.776366055146
2022-11-18,1990.7992249854753,-1180.5769842811048,5162.175434252055,3771.527817520529,-10180.776541649933,17723.83217669099
2022-11-19,1889.9972903065473,-1283.297939374599,5063.292519987694,3582.238266718331,-10382.601350414556,17547.077883851216
2022-11-20,2268.789472338748,-906.4398876299674,5444.0188323074635,4328.22211967303,-9655.092854742396,18311.537094088453
2022-11-21,2127.8739683257,-1049.3046729060316,5305.052609557431,4061.053248740245,-9962.062860237413,18084.169357717903
2022-11-22,2106.9320616763034,-1072.2110525793,5286.075175931906,4027.728797828953,-10004.630891692816,18060.08848735072
2022-11-23,3417.8417205914175,236.7189010836828,6598.964540099152,6598.411905682977,-7446.8054754207515,20643.629286786705
2022-11-24,1096.7645778059723,-2086.3532193305973,4279.882374942542,2058.800280200559,-12046.87463315486,16164.475193555978
2022-11-25,1255.429359125847,-1929.6987278448137,4440.557446096507,2375.880356815216,-11754.562950703545,16506.323664333977
2022-11-26,1653.6963285522252,-1533.4573999655363,4840.850057069987,3165.7617897201194,-10989.100550387804,17320.624129828044
2022-11-27,2392.1277181010787,-797.0670428628569,5581.322479065015,4627.349116652664,-9556.848542575854,18811.54677588118
2022-11-28,1013.1848361392674,-2178.0663870334247,4204.43605931196,1912.7009664274817,-12358.12152425134,16183.523457106303
2022-11-29,2260.2246152630682,-933.0985384210717,5453.547768947208,4383.673006254323,-9940.007200556338,18707.353213064984
2022-11-30,2990.2900737435325,-205.1205169706327,6185.700664457698,5833.321663243364,-8532.359050282157,20199.002376768884
2022-12-01,1100.1122040438804,-2097.40136810975,4297.62577619751,2098.9756942987015,-12375.006320857836,16572.95770945524
2022-12-02,899.6596556351813,-2299.9724799324176,4099.291791202781,1705.3225590702891,-12822.995182128087,16233.640300268666
2022-12-03,1207.9371558805283,-1993.8291623140472,4409.703474075104,2323.2684763975785,-12256.644701289337,16903.181654084492
2022-12-04,1376.639984616217,-1827.276172329555,4580.556141561989,2664.542810485872,-11993.563363275029,17322.648984246774
2022-12-05,1854.8215451714918,-1351.2601432329102,5060.903233575894,3624.036606115494,-11148.100004813054,18396.17321704404
2022-12-06,2964.5960112452703,-243.66693757971552,6172.858960070256,5842.39631342885,-8964.518623821295,20649.311250678995
2022-12-07,835.066501731271,-2375.393472401419,4045.5264758639614,1597.4030559396504,-13237.312851025383,16432.118962904682
2022-12-08,834.1219619956305,-2378.5508379270505,4046.7947619183115,1599.6116948049507,-13332.307249598358,16531.53063920826
2022-12-09,982.8237070045886,-2232.077754454919,4197.725168464097,1902.1605977249985,-13114.457826020403,16918.7790214704
2022-12-10,981.845515042603,-2235.300478633901,4198.9915087191075,1904.7812610668786,-13153.490541200441,16963.0530633342
2022-12-11,1379.9532203815804,-1839.4532107936332,4599.359651556794,2710.5170390124763,-12410.588271429795,17831.62234945475
2022-12-12,3830.311909146835,608.6291009219944,7051.9947173716755,7640.077816521422,-7603.542953343759,22883.698586386603
2022-12-13,790.3059157190467,-2433.6692430426765,4014.2810744807693,1530.109589780417,-13776.959284696193,16837.178464257027
2022-12-14,1596.72037868307,-1629.563137705757,4823.003895071897,3165.208383175205,-12210.316453055308,18540.73321940572
2022-12-15,1017.0122018821698,-2211.5957124930974,4245.620116257437,1998.6213111229224,-13526.121908288373,17523.364530534218
2022-12-16,1594.839281204556,-1636.1091044512934,4825.787666860406,3173.8514357386875,-12395.772620915766,18743.475492393143
2022-12-17,915.3257586231343,-2317.9792042075014,4148.63072145377,1801.637994472884,-13833.203463464548,17436.479452410316
2022-12-18,3454.3252318818977,218.64755371736373,6690.002910046432,6952.82332819961,-8754.915440375997,22660.562096775215
2022-12-19,1083.064027338169,-2155.002536248745,4321.130590925082,2151.5996071749664,-13640.495459513812,17943.694673863745
2022-12-20,1231.71805127487,-2008.7535994163686,4472.189701966108,2459.395931545865,-13367.540594193933,18286.332457285665
2022-12-21,1230.7889977765353,-2012.1039729581958,4473.681968511266,2462.719303313794,-13408.284016609245,18333.722623236834
2022-12-22,3219.5928016928337,-25.737752945218745,6464.923356330886,6521.762293015144,-9423.961879813429,22467.486465843715
2022-12-23,1159.0739094534638,-2088.7105235315503,4406.858342438478,2326.5064646632995,-13653.709302444742,18306.722231771342
2022-12-24,1317.7612155966951,-1932.4934204256108,4568.015851619001,2656.600043033349,-13344.208861920299,18657.408947986994
2022-12-25,1546.3754271308576,-1706.3657665283954,4799.116620790111,3130.8095762999783,-12898.750708885473,19160.36986148543
2022-12-26,1864.884201818113,-1390.3599336494813,5120.128337285707,3790.690641976657,-12296.40557569172,19877.786859645035
2022-12-27,1883.8787275905638,-1373.8847630907208,5141.642218271849,3836.7951189870505,-12267.35954761119,19940.94978558529
2022-12-28,2933.713194687408,-326.5860935089122,6194.012482883728,5999.143362923105,-10124.22246490189,22122.5091907481
2022-12-29,1762.1799244197905,-1500.6716321507993,5025.03148099038,3600.168491786276,-12597.948659041976,19798.285642614526
2022-12-30,1771.2044288638651,-1494.2158951598833,5036.624752887614,3625.557859882107,-12580.698194826111,19831.813914590326
2022-04-01,9169.30129543567,3399.0583311167,14939.544259754643,10684.402094073857,-10979.610824973997,32348.41501312171
2022-04-02,2857.8674424404408,-2912.377381705747,8628.112266586628,3129.1076738033175,-18534.90524530042,24793.120592907057
2022-04-03,3504.5157744535063,-2265.731696003916,9274.76324491093,3921.1592329241325,-17742.853686414448,25585.172152262712
2022-04-04,3052.4190744992084,-2717.83196708407,8822.670116082487,3386.648613208662,-18277.364306517266,25050.661532934588
2022-04-05,4499.104990572187,-1271.1506852814355,10269.360666425808,5153.224606138244,-16510.788313678902,26817.23752595539
2022-04-06,6399.214669884686,628.9531582873569,12169.476181482016,7475.501856544678,-14188.511063601869,29139.514776691223
2022-04-07,8501.475539276613,2731.206852134591,14271.744226418636,10052.899910235816,-11611.113010291572,31716.912830763205
2022-04-08,3491.655569239049,-2278.621771574715,9261.932910052812,3969.9956787962624,-17694.017241786663,25634.008599379187
2022-04-09,3539.0127979863414,-2231.274812950375,9309.300408923058,4040.9826103153323,-17623.03031061719,25704.995531247852
2022-04-10,1839.1882512591874,-3931.111384573587,7609.487887091962,1964.0679692884353,-19699.944952079015,23628.08089065589
2022-04-11,4233.602000933655,-1536.7115528875056,10003.915554754816,4922.1760754275065,-16741.836846140646,26586.188996995657
2022-04-12,4531.0938032991335,-1239.2356999188523,10301.42330651712,5304.242633285669,-16359.770289148073,26968.255555719414
2022-04-13,6331.101444833827,560.7538224980462,12101.449067169608,7542.923395252784,-14121.089531016845,29206.93632152241
2022-04-14,2178.151817708117,-3592.2162317748744,7948.5198671911085,2417.1109551631753,-19246.9019716771,24081.12388200345
2022-04-15,1527.1658945742543,-4243.22502838919,7297.5568175376975,1615.3053537681662,-20048.707573626412,23279.318281162745
2022-04-16,1724.0270308680924,-4046.389350207681,7494.4434119438665,1868.3104785047449,-19795.702449892753,23532.32340690224
2022-04-17,3868.168492322415,-1902.276069790409,9638.61305443524,4557.1611321409355,-17106.85179690189,26221.174061183763
2022-04-18,3016.3396386157065,-2754.135965745302,8786.815242976714,3504.2938325070827,-18159.719097371944,25168.30676238611
2022-04-19,5564.843093731485,-205.6665523681586,11335.352739831129,6711.729956185693,-14952.282979602769,28375.742891974154
